course_id,topic_id,topic_title,entry_id,Semester and Year,entry_message,entry_word_count,reply_id,reply_message,reply_word_count
9999999,1111111,Week 0: Introductions (Section Z),BrandiWarren,Spring 2019,Movement others world standard too long hundred all important measure recognize field address. Dino Buzzati,145,JacobJohnson,Present reality boy government case every. Leonora Carrington,177
9999999,1111111,Week 0: Introductions (Section Z),AutumnVega,Spring 2021,Six anyone doctor common even whatever general possible through view race. Dino Buzzati,826,RickyBailey,Bar yard second shake per. Stephen King,932
9999999,1111111,Week 0: Introductions (Section Z),RichardSmith,Fall 2022,But attention play beat war thing thought after memory argue bed. Leonora Carrington,379,NicoleMathis,Worker interview good. Dino Buzzati,226
9999999,1111111,Week 0: Introductions (Section Z),AmandaRivera,Spring 2021,Different section easy especially different know meet method moment white before program mission. William Sansom,875,AlexisGalvan,The around their early. Stephen King,302
9999999,1111111,Week 0: Introductions (Section Z),PamelaWatts,Spring 2022,Wish lose leader through start become. Leonora Carrington,658,AmberWashington,Throw head nearly goal I commercial. Jeff VanderMeer,593
9999999,1111111,Week 0: Introductions (Section Z),JonathanWilliams,Spring 2022,Simple drive green stand cut whether owner positive court side change discussion able. Jeff VanderMeer,241,KatherineHines,Song surface recognize. William Sansom,601
9999999,1111111,Week 0: Introductions (Section Z),PaulBrown,Fall 2019,Government price prepare risk than cause rate make painting just program section. Leonora Carrington,200,ChristopherHuynh,Story receive top. Stephen King,155
9999999,1111111,Week 0: Introductions (Section Z),MollySmith,Fall 2020,This force perform food lay drive appear. Leonora Carrington,382,WilliamRosales,Compare mention society young table. Dino Buzzati,777
9999999,1111111,Week 0: Introductions (Section Z),ChristopherRussell,Fall 2019,Adult focus somebody stock dinner practice buy represent. Jeff VanderMeer,778,GinaCalderon,Leader list stage security simple your. Stephen King,919
9999999,1111111,Week 0: Introductions (Section Z),JohnSmith,Spring 2022,Which though already car others baby. Stephen King,539,JohnBeard,Hour article ok measure. Leonora Carrington,759
9999999,1111111,Week 0: Introductions (Section Z),AdamMendez,Spring 2021,Within exist onto before else modern personal management left officer. Jeff VanderMeer,670,SamuelNelson,Store spend choice whom cut. Leonora Carrington,908
9999999,1111111,Week 0: Introductions (Section Z),RonaldGonzalez,Spring 2021,Guy break traditional around morning include spring. Jeff VanderMeer,841,MichaelPetersen,Heavy watch will successful. Jeff VanderMeer,822
