,source,target,Semester and Year
0,82,,Fall 2019
1,6,,Fall 2019
2,95,,Spring 2020
3,98,,Fall 2022
4,46,,Fall 2021
4,46,,Fall 2021
5,65,,Spring 2022
6,91,,Fall 2022
6,91,,Fall 2022
7,58,,Fall 2020
8,52,,Fall 2020
9,25,,Spring 2021
10,37,,Fall 2021
11,12,,Spring 2019
12,76,,Spring 2022
12,76,,Spring 2022
13,73,,Spring 2021
14,15,,Spring 2021
15,84,,Spring 2022
16,13,,Fall 2020
16,13,,Fall 2020
17,44,,Spring 2022
18,34,,Spring 2021
19,71,,Spring 2019
19,71,,Spring 2019
20,72,,Fall 2019
20,72,,Fall 2019
21,40,,Fall 2019
21,40,,Fall 2019
22,70,,Fall 2022
23,97,,Spring 2020
24,11,,Spring 2022
25,27,,Spring 2022
26,77,,Spring 2020
27,5,,Fall 2022
28,81,,Spring 2021
29,29,,Fall 2021
29,29,,Fall 2021
30,51,,Spring 2021
30,51,,Spring 2021
31,31,,Spring 2020
31,31,,Spring 2020
32,10,,Fall 2020
32,10,,Fall 2020
33,90,,Spring 2020
34,49,,Spring 2019
35,23,,Spring 2021
36,67,,Spring 2022
37,57,,Fall 2020
38,93,,Spring 2021
38,93,,Spring 2021
39,66,,Fall 2020
40,86,,Spring 2021
41,0,,Spring 2020
42,96,,Spring 2020
43,35,,Fall 2021
44,68,,Fall 2020
45,75,,Fall 2022
46,16,,Spring 2020
47,61,,Spring 2019
48,55,,Fall 2021
49,83,,Spring 2022
49,83,,Spring 2022
50,69,,Spring 2022
51,19,,Fall 2019
52,62,,Fall 2020
53,64,,Spring 2020
53,64,,Spring 2020
54,24,,Spring 2020
55,87,,Fall 2020
56,3,,Spring 2021
57,94,,Fall 2019
58,56,,Fall 2019
59,63,,Fall 2022
60,92,,Fall 2021
61,45,,Spring 2019
61,45,,Spring 2019
62,36,,Spring 2021
63,78,,Spring 2021
63,78,,Spring 2021
64,17,,Fall 2022
65,88,,Spring 2022
66,59,,Fall 2019
67,47,,Fall 2020
68,41,,Spring 2019
68,41,,Spring 2019
69,74,,Spring 2019
70,89,,Spring 2020
71,18,,Spring 2022
72,2,,Spring 2022
73,85,,Fall 2022
74,53,,Fall 2019
74,53,,Fall 2019
75,8,,Spring 2019
76,26,,Fall 2019
76,26,,Fall 2019
77,21,,Fall 2021
77,21,,Fall 2021
78,48,,Fall 2020
78,48,,Fall 2020
79,54,,Spring 2019
80,42,,Spring 2021
80,42,,Spring 2021
81,60,,Spring 2022
82,33,,Spring 2022
83,9,,Fall 2020
83,9,,Fall 2020
84,28,,Spring 2021
